class,text
i,"2) 또한 자동차 열쇠에 대한 배타적인 점유를 취득하는 이상 인근에 주차된 해당 자동차를 사실상 지배하는 것은 매우 용이하고,"
w,"자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며 그 인식이나 예견은 확정적인 것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
u,이 사건의 경우 앞서 든 증거들에 의하여 인정되는 다음과 같은 사정들을 고려하여보면
c,나. 피고인은 본건 범행 당시 술에 취하여 심신상실 또는 심신미약의 상태에 있었다.
d,"② 피해자가 피고인에게 먼저 시비를 걸며 부엌에 있던 식칼을 꺼내들고 피고인을 위협하자 피고인은 이에 대응하여 피해자를 밀어 넘어뜨리고 판시와 같이 피해자를 식칼로 찔렀는데,"
i,"그 과정에서 피해자가 찔린 것일 뿐,"
d,고개를 숙이자 다시 등 부위를 한번 더 찔렀다고 진술하였고
i,이 사건 음료수 병에서 피고인의 지문이 나오지 않은 점 등에 비추어
i,"사고(명품) 장애가 없고,"
i,그리고 결국 피해자는 경부압박질식으로 사망하였다.
w,행위자가 범죄사실이 발생할 가능성을 용인하고 있었는지 여부는 행위자의 진술에 의존하지 않고 외부에 나타난 행위의 형태와 행위의 상황 등
c,위법수집증거에 해당하여증거능력이 없다.
d,(증거기록 71쪽 내지 72쪽).
d,"피해자 E은 피고인이 칼로 자신의 등을 베었고,"
d,"그 수납함에는 피해자의 피를 닦은 휴지 뭉치와 양말, 담배꽁초(수사기록 158~162쪽)가 발견되었다."
i,피고인은 만취한 피해자가 식칼을 들고 와서 피고인의 가슴과 목에 들이대며 죽인다고 위협하고 가혹한 폭행을 하자 쓰러지면서 이러한 상황을 모면하고자 순간적으로 손에 잡힌 칼로 피해자를 찔렀을 뿐이지
ic,따라서 피고인과 변호인의 심신미약 주장도 받아들이지 아니한다.
d,"저는 그럴 의도는 없었습니다.”라고 대답하였으며,"
d,피고인은 범행 당일 C에게 C의 사무실에 찾아가 다 죽이겠다는 취지의 메시지와 함께 칼날길이만 26cm에 이르는 회칼을 준비하고
u,"그러나 앞서 든 증거들에 의하여 인정되는 다음의 사정, 즉"
d,앞서 본 바와 같이 깨진 소주병으로 피해자를 협박하는 등
c,"피고인이 자신의 행위로 인하여 피해자가 사망에 이를 것이라는 점을 충분히 인식하였고, 나아가 이를 용인하는 내심의 의사도 가지고 있었다고 하지 않을 수 없다."
d,162~182쪽).
d,(피해자들의 각 법정진술).
c,"이 사건 범행 당시 심신미약의 상태에 있었다는 취지의 주장을 하므로 살피건대,"
ic,따라서 피고인 및 변호인의 위 주장은 이유 없다.
i,위와 같은 사정만으로 살인의 고의를 부정할 수 없다.
w,"가. 살인의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는 것은 아니고,"
u,"앞서 거시한 증거들에 의하여 인정되는 다음과 같은 사정들에 비추어 보면,"
c,"또한, 피고인은 첫 번째 식칼의 칼날이 부러지자 부엌에 있는 다른 식칼을 가지고 와서 피고인을 피해 도망가는 피해자를 찌르려고 한 사실도 없다."
w,그 인식이나 예견은 확정적인 것은 물론 불확정적인 것이라도 소위 미필적 고의로도 인정된다.
d,피고인 B가 2003. 10. 10. 정신지체 2급 판정을 받아 장애등록을 한 사실은 인정된다.
w,정당방위가 범죄의 구성요건에 해당하는 어떤 행위의 위법성을 예외적으로 소멸시키는 사유라는 점에 비추어
d,5. 말경에도 피해자가 다른 남자와 노래방을 가는 것으로 다투었다.
i,달리 피해자들의 이러한 진술들의 신빙성을 의심할만한 사정도 발견되지 아니하므로
c,이는 중지미수에 해당한다.
d,"이 사건 범행 후 피고인은 2008. 1. 21. 00:00경부터 01:00경 사이에 자신이 거처로 정하고 있던 찜질방을 찾아갔는데 이 자리에서 피고인은 당시 카운터를 맡아보고 있던 e가 같은 달 17.에 빌린 돈 1만원을 갚으라고 하자,"
d,피해자가 “살려도.
c,"피고인이 A, C와 공모하여피해자를 살해하려다가 미수에 그쳤음을 넉넉히 인정할 수 있다"
d,"③ 피해자 E는 ""평소 층간소음 문제로 피고인이 찾아와 항의하는 일이 많았는데,"
d,뒤로 넘어지면서 벽에 머리가 부딪혔다.
d,"피고인이 공소사실 기재와 같이 피해자 C를 식칼로 찌른 사실은 있으나,"
d,"이후 피해자 G이 주변에 피를 흘리며 쓰러져 있는 것을 보았다""라고 진술한 점,"
c,이 사건 범행 당시 피해자를 살해할 의사가 없었다.
c,피고인이 이 사건 범행 당시 음주 등으로 인하여 사물을 변별하거나 의사를 결정할 능력이 미약한 상태에 있었던 것으로 보이지는 않는다.
i,"D을 살해한 이후에도 여전히 낫을 들고 피해자 F, G을 쫓아다닌 점 등과 함께 앞서본 피고인의 피해자들 및 D에 대한 추격 및 공격 경위 등을 종합해 보면,"
d,내 방법은 그게 최고 좋은 방법 같아 말하였다.
d,"4 범행 직후 피고인은 피고인의 모에게 '누나 찔렀어'라는 문자를 보냈고,"
i,"1 피고인 B는 칼에 찔린 후 상당한 양의 출혈이 있는 상태로 휴대전화를 들고 주거지 밖으로 뛰어 나와 스스로 119에 신고하였고,"
e,"(2) 감정결과에 의하면,"
i,피고인이 상당한 힘을 가해 찌른 것으로 보인다.
w,"또한 정당방위가 성립하려면 침해행위에 의하여 침해되는 법익의 종류, 정도, 침해의 방법, 침해행위의 완급과 방위행위에 의하여 침해될 법익의 종류, 정도 등 일체의 구체적 사정들을 참작하여 방위행위가 사회적으로 상당한 것이어야 하고,"
c,이는 정당방위에 해당한다고 주장한다.
d,"""아우, 그 쌍놈의 지지배 죽여버리고 싶다, 아, 진짜"","
d,당시 '아~ 아~ 아~'정도의 신음소리만 낼 수 있었을 뿐
c,피고인들 및 변호인의 위 주장은 받아들이지 아니한다.
i,"피고인은 사건 당시 술을 먹고 잠이 들었다가 깨어 보니 피해자가 숨을 쉬지 않아 아마도 자신이 죽인 것이라는 생각에서 수사기관에서 자백한 것일 뿐이며,"
i,3 피고인은 식당에 도착하여 피해자를 보자마자 무방비상태인 피해자의 등 뒤에서 다가가 놀라서 몸을 돌리는 피해자의 좌측 옆구리를 1회 찌르고
c,피고인들의 신체의 완전성을 훼손하고 생리적 기능의 장애를 초래할 정도의 상처라고 평가함이 상당하다.
i,"피고인은 이 사건 각 범행 당시의 상황을 구체적으로 기억하고 있는 점,"
d,"""내 옆에 있으면 이제 죽여, 내가"","
i,나름대로의 인식과 의도를 가지고 한 행동으로 보인다.
i,"피고인이 손도끼로 피해자의 머리를 1회 내리찍었을 때 피해자는 머리에 상해를 입었고,"
d,0 (평소에 죽여달라는 말에 진정성이 있었는지 아니면 그냥 하는 소리인지에 관하여) 그냥하는 소리였습니다
w,"(1) 살인죄에서 살인의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는 것은 아니고,"
u,"이러한 사정에 비추어 보더라도,"
w,위와 같이 깨진 소주병 조각으로 사람의 목 부위를 여러 차례 찌르는 경우 사망의 결과를 발생시킬 가능성 및 위험성이 있다는 사실은 누구나 쉽게 인식하거나 예견할 수 있다.
d,피고인이 칼날을 잡을 때에는 칼날이 위로 향하도록 잡았다.
i,"3이 사건 범행의 도구로 사용된 과도는 칼 길이가 20cm, 칼날 길이가 10cm에 달하는 상당히 날카롭고 치명적인 흉기이며,"
i,"② 피고인은 과도를 든 피고인을 보고 놀란 피해자가 집 밖으로 도망치자 위 과도를 든 채 피고인의 집에서 70m 가량 떨어진 지점까지 빠른 걸음으로 쫓아가 피해자를 붙잡은 다음 피해자에게 치명상을 가할 수 있는 가슴 부위와 배 부위를 과도로 두 차례나 찌른 점,"
d,"피고인이 피해자를 공격한 방식과 강도, 횟수를 고려하면,"
d,"3 피고인이 사용한 몽둥이와 피해자 시신에서 발견된 상처의 흔적이 일치하고,"
i,피고인은 판시 일시 . 장소에서 피해자에게 도움을 요청하였으나 거절당하자 이에격분하여 판시와 같은 범행을 저질렀다'라는 것이다.
i,피고인 B은 피고인 A과 피해자를 뒤따라가면서 보아 피고인 A과 피해자의 당시 상태를 잘 알고 있었다.
u,"위와 같은 목격자들의 진술에 의하면,"
d,"(증거기록 527쪽),"
d,"⑤ 피고인은 이에 그치지 않고 대치과정에서 소지한 회칼을 식당 여닫이 문틈으로 집어넣어 피해자 E을 찌르려고 하였고,"
